index	vritti
1.1.1	वृद्धिः
1.1.2	गुणः
1.1.3	परिभाषा
1.1.4	गुणवृद्धिनिषेधः
1.1.5	गुणवृद्धिनिषेधः
1.1.6	गुणवृद्धिनिषेधः
1.1.7	संयोगः
1.1.8	अनुनासिकः
1.1.9	सवर्णम्‌
1.1.10	सवर्णम्‌
1.1.11	प्रगृह्यम्‌
1.1.12	प्रगृह्यम्‌
1.1.13	प्रगृह्यम्‌
1.1.14	प्रगृह्यम्‌
1.1.15	प्रगृह्यम्‌
1.1.16	प्रगृह्यम्‌
1.1.17	प्रगृह्यम्‌
1.1.18	प्रगृह्यम्‌
1.1.19	प्रगृह्यम्‌
1.1.20	घुः
1.1.21	परिभाषा
1.1.22	घः
1.1.23	संख्या
1.1.24	षट्‌
1.1.25	षट्‌
1.1.26	निष्ठा
1.1.27	सर्वनाम
1.1.28	सर्वनाम
1.1.29	सर्वनाम
1.1.30	सर्वनाम
1.1.31	सर्वनाम
1.1.32	सर्वनाम
1.1.33	सर्वनाम
1.1.34	सर्वनाम
1.1.35	सर्वनाम
1.1.36	सर्वनाम
1.1.37	अव्ययम्‌
1.1.38	अव्ययम्‌
1.1.39	अव्ययम्‌
1.1.40	अव्ययम्‌
1.1.41	अव्ययम्‌
1.1.42	सर्वनामस्थानम्
1.1.43	सर्वनामस्थानम्
1.1.44	विभाषा
1.1.45	सम्प्रसारणम्
1.1.46	परिभाषा
1.1.47	परिभाषा
1.1.48	परिभाषा
1.1.49	परिभाषा
1.1.50	परिभाषा
1.1.51	परिभाषा
1.1.52	परिभाषा
1.1.53	परिभाषा
1.1.54	परिभाषा
1.1.55	परिभाषा
1.1.56	स्थानिवत्त्वातिदेशः
1.1.57	स्थानिवत्त्वातिदेशः
1.1.58	स्थानिवत्त्वातिदेशः
1.1.59	स्थानिवत्त्वातिदेशः
1.1.60	लोपः
1.1.61	लुक्‌ श्लु लुप्
1.1.62	परिभाषा
1.1.63	परिभाषा
1.1.64	टि
1.1.65	उपधा
1.1.66	परिभाषे
1.1.67	परिभाषे
1.1.68	ग्रहणकसूत्राणि अर्थविशिष्टशब्दस्वरूपग्राहकसूत्रम्
1.1.69	सवर्णग्राहकसूत्रम्
1.1.70	सवर्णग्राहकसूत्रम्
1.1.71	प्रत्याहारः
1.1.72	प्रत्याहारः तदन्तग्राहकसूत्रम्
1.1.73	वृद्ध‌म्‌
1.1.74	वृद्ध‌म्‌
1.1.75	वृद्ध‌म्‌
1.2.1	अतिदेशः, ङित्त्वातिदेशः
1.2.2	अतिदेशः, ङित्त्वातिदेशः
1.2.3	अतिदेशः, ङित्त्वातिदेशः
1.2.4	अतिदेशः, ङित्त्वातिदेशः
1.2.5	अतिदेशः, कित्त्वातिदेशः
1.2.6	अतिदेशः, कित्त्वातिदेशः
1.2.7	अतिदेशः, कित्त्वातिदेशः
1.2.8	अतिदेशः, कित्त्वातिदेशः
1.2.9	अतिदेशः, कित्त्वातिदेशः
1.2.10	अतिदेशः, कित्त्वातिदेशः
1.2.11	अतिदेशः, कित्त्वातिदेशः
1.2.12	अतिदेशः, कित्त्वातिदेशः
1.2.13	अतिदेशः, कित्त्वातिदेशः
1.2.14	अतिदेशः, कित्त्वातिदेशः
1.2.15	अतिदेशः, कित्त्वातिदेशः
1.2.16	अतिदेशः, कित्त्वातिदेशः
1.2.17	अतिदेशः, कित्त्वातिदेशः
1.2.18	अतिदेशः, अक्तित्त्वातिदेशः
1.2.19	अतिदेशः, अक्तित्त्वातिदेशः
1.2.20	अतिदेशः, अक्तित्त्वातिदेशः
1.2.21	अतिदेशः, अक्तित्त्वातिदेशः
1.2.22	अतिदेशः, अक्तित्त्वातिदेशः
1.2.23	अतिदेशः, अक्तित्त्वातिदेशः
1.2.24	अतिदेशः, अक्तित्त्वातिदेशः
1.2.25	अतिदेशः, अक्तित्त्वातिदेशः
1.2.26	अतिदेशः, अक्तित्त्वातिदेशः
1.2.27	ह्रस्वः दीर्घः प्लुतः
1.2.28	परिभाषा
1.2.29	उदात्तः
1.2.30	अनुदात्तः
1.2.31	स्वरितः
1.2.32	स्वरिते उदात्तांश्च अनुदात्तांश्च निर्णयः
1.2.33	एकश्रुतिः
1.2.34	एकश्रुतिः
1.2.35	एकश्रुतिः
1.2.36	एकश्रुतिः
1.2.37	एकश्रुतिः
1.2.38	एकश्रुतिः
